No.	Microbe	NCBI Taxonomy id
272	Lactobacillus sakei subsp. sakei 23K	314315
273	Lactobacillus ultunensis DSM 16047	525365
274	Lactobacillus vaginalis ATCC 49540	1423814
275	Lactococcus garvieae Lg2	420890
276	Lactonifactor	420345
277	Lawsonia	1091138
278	Legionella	445
279	Listeria grayi DSM 20601	525367
280	Listeria seeligeri FSL N1-067	702453
281	Megasphaera	906
282	Megasphaera elsdenii DSM 20460	1064535
283	Microbacterium	33882
284	Micrococcaceae	1268
285	Morganella	90690
286	Mucispirillum schaedleri	248039
287	Neisseria bacilliformis ATCC BAA-1200	888742
288	Neisseria elongata subsp. glycolytica ATCC 29315	546263
289	Neisseria mucosa ATCC 25996	546266
290	Neisseriaceae	481
291	Nitrospira	203693
292	Nostocales	1161
293	Odoribacteraceae	1853231
294	Olsenella	133925
295	Olsenella uli DSM 7084	633147
296	Oxalobacteraceae	75682
297	Paenalcaligenes genus	1100891
298	Paenibacillaceae	186822
299	Paenibacillus	44249
300	Pantoea genus	53335
301	Pantoea ananatis LMG 5342	1123863
302	Pantoea sp. At-9b	592316
303	Parabacteroides johnsonii	387661
304	Paraprevotella	577309
305	Pasteurellaceae family	712
306	Pectobacterium atrosepticum SCRI1043	218491
307	Pectobacterium wasabiae WPP163	561231
308	Peptococcaceae	186807
309	Peptoniphilus sp. oral taxon 375	879308
310	Peptostreptococcus	1257
311	Peptostreptococcus stomatis DSM 17678	596315
312	Photorhabdus luminescens subsp. laumondii TTO1	243265
313	Planctomyces	118
314	Planococcaceae	186818
315	Plautia stali symbiont	891974
316	Porphyromonas	836
317	Porphyromonas uenonis 60-3	596327
318	Prevotella oris C735	563008
319	Propionibacterium acnes SK182B-JCVI	1051006
320	Proteus n.a.	210425
321	Pseudoflavonifractor capillosus ATCC 29799	411467
322	Pseudogulbenkiania sp. NH8B	748280
323	Pseudomonas aeruginosa NCGM2.S1	1089456
324	Pseudomonas alcaligenes Species 286	43263
325	Pseudomonas japonica	256466
326	Pseudomonas stutzeri DSM 4166	996285
327	Pseudomonas syringae pv. morsprunorum str. M302280	629259
328	Rahnella aquatilis CIP 78.65	745277
329	Rahnella sp. Y9602	741091
330	Raphidiopsis brookii D9	533247
331	Rheinheimera	67575
332	Rheinheimera sp. A13L	506534
333	Rhodospirillaceae	41295
334	Roseburia faecis	301302
335	Roseburia inulinivorans Species 841	360807
336	Rothia mucilaginosa DY-18	680646
337	Ruminococcus flavefaciens FD-1	641112
338	Ruminococcus sp. 5_1_39BFAA	457412
339	Ruminococcus sp. SR1/5	657323
340	Saccharibacteria	95818
341	Salmonella	590
342	Salmonella bongori NCTC 12419	218493
343	Salmonella enterica subsp. arizonae serovar 62:z4,z23:- str. RSK2980	882884
344	Salmonella enterica subsp. enterica serovar Dublin str. SD3246	909945
345	Saprospirales	1936988
346	Serratia odorifera DSM 4582	667129
347	Serratia proteamaculans 568	399741
348	Serratia sp. AS12	768490
349	Shewanella	22
350	Shewanella frigidimarina NCIMB 400	318167
351	Shewanella putrefaciens 200	399804
352	Shigella	620
353	Slackia exigua ATCC 700122	649764
354	Slackia heliotrinireducens DSM 20476	471855
355	Snodgrassella alvi	1196083
356	Sphingomonadales	204457
357	Sphingomonas	13687
358	Spirochaetes	203692
359	Sporosarcina	1569
360	Staphylococcaceae	90964
361	Staphylococcus aureus subsp. aureus MRSA177	754026
362	Staphylococcus epidermidis	1282
363	Staphylococcus epidermidis W23144	525376
364	Stenotrophomonas	40323
365	Streptococcus anginosus species 1301	1328
366	Streptococcus dysgalactiae subsp. dysgalactiae ATCC 27957	663952
367	Streptococcus infantarius subsp. infantarius CJ18	1069533
368	Streptococcus infantis	68892
369	Streptococcus mutans	1309
370	Streptococcus parasanguinis ATCC 15912	760570
371	Streptococcus sanguinis species 1301	1305
372	Streptococcus thermophilus JIM 8232	1051074
373	Sutterellaceae	995019
374	Tannerella	195950
375	Tenericutes	544448
376	Trichococcus	82802
377	Tropheryma whipplei	2039
378	unclassified Lachnospiraceae	186928
379	unclassified Rhodospirillaceae	41296
380	unclassified Ruminococcaceae	552397
381	Veillonella	29465
382	Veillonella dispar ATCC 17748	546273
383	Veillonella sp. 6_1_27	450749
384	Veillonella sp. oral taxon 158	879309
385	Veillonellaceae family	31977
386	Verrucomicrobiaceae	203557
387	Vibrio	662
388	Vibrio furnissii CIP 102972	675811
389	Weissella cibaria KACC 11862	911104
390	Xanthomonas	338
391	Xanthomonas campestris pv. vesicatoria str. 85-10	316273
392	Xenorhabdus bovienii SS-2004	406818
393	Xenorhabdus nematophila ATCC 19061	406817
394	Yersinia enterocolitica subsp. enterocolitica 8081	393305
395	Bifidobacterium longum	216816
396	Bifidobacterium longum subsp. infantis	1682
397	Bifidobacterium longum subsp. Infantis CCUG52486	537937
398	Bifidobacterium pseudocatenulatum	28026
399	Alistipes putredinis	28117
400	Bilophila	35832
401	Bilophila wadsworthia	35833
402	Blautia Genus	572511
403	Blautia hansenii DSM20583	537007
404	Blautia producta	33035
405	Marvinbryantia formatexigens DSM 14469	478749
406	Allobaculum	174708
407	Butyricicoccus	580596
408	Butyricicoccus pullicaecorum	501571
409	Butyricimonas	574697
410	Campylobacter	194
411	Candida albicans	5476
412	Carnobacterium	2747
413	Alloprevotella	1283313
414	Citrobacter freundii	546
415	Clostridiales bacterium Species n.a.	1898207
416	Clostridium	1485
417	Clostridium asparagiforme DSM15981	518636
418	Clostridium bolteae ATCCBAA-613	411902
419	Clostridium butyricum	1492
420	Clostridium difficile 120	699035
421	Clostridium hathewayi DSM13479	566550
422	Clostridium leptum	1535
423	Clostridium perfringens Species 1485	1502
424	Clostridium ramosum DSM1402	445974
425	Clostridium scindens	29347
426	Clostridium scindens ATCC35704	411468
427	Anaerococcus hydrogenalis DSM7454	561177
428	Clostridium spiroforme DSM1552	428126
429	Clostridium sporogenes	1509
430	Clostridium sporogenes ATCC15579	471871
431	Clostridium symbiosum ATCC1494 	411472
432	Collinsella	102106
433	Collinsella aerofaciens Species 102106	74426
434	Collinsella aerofaciens ATCC25986	411903
435	Collinsella intestinalis DSM13280	521003
436	Coprococcus	33042
437	Coprococcus comes	410072
438	Coprococcus comes ATCC27758	470146
439	Corynebacterium Genus	1716
440	Cronobacter sakazakii	28141
441	Desulfitobacterium hafniense	49338
442	Desulfovibrio	872
443	Desulfovibrio desulfuricans	876
444	Dorea	189330
